Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/anglijs-ka-mova-gramatika-zbirnik-vprav.html,Англійська мова. Граматика. Збірник вправ,"Юрій Голіцинський, Ніна Голіцинська",Арій,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/moja-babusja-prosit-ij-vibachiti.html,"Моя бабуся просить їй вибачити
Min Mormor Halsar Och Sager Forlat (My Grandmother Sends Her Regards and Apologises)",Фредрік Бакман,#книголав,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/use-pobachish-koli-prigal-muesh-pravila-vizhivannja-u-metushlivomu-sviti.html,"Усе побачиш, коли пригальмуєш. Правила виживання у метушливому світі
The Things You Can See Only When You Slow Down",Гемін Сунім,Snowdrop,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/minecraft-dovidnik-arhitektora.html,Minecraft. Довідник Архітектора,Крейг Джеллі,Артбукс,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/v-otochenni-idiotiv-abo-jak-zrozumiti-tih-kogo-nemozhlivo-zrozumiti.html,"В оточенні ідіотів, або Як зрозуміти тих, кого неможливо зрозуміти",Томас Еріксон,Фоліо,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/brama-evropi-istorija-ukraini-vid-skifs-kih-voen-do-nezalezhnosti.html,"Брама Європи. Історія України від скіфських воєн до незалежності
The Gates of Europe. A History of Ukraine",Сергій Плохій,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/12-pravil-zhittja-jak-poboroti-haos.html,"12 правил життя. Як побороти хаос
12 Rules for Life: An Antidote to Chaos",Джордан Пітерсон,Наш Формат,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vozljubi-svoju-hvorobu.html,Возлюби свою хворобу,Валерій Синельников,Лотос,2009,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vse-cvety-parizha-2061197.html,Все цветы Парижа,Сара Джіо,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/poka-ja-ne-ja.html,Пока-я-не-Я,Дмитро Троцький,Форс,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/bogatyj-papa-bednyj-papa-2103379.html,"Богатый папа, бедный папа
Rich Dad, Poor Dad",Роберт Т. Кійосакі,Попурри,2016,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/harry-potter-and-the-philosophers-stone.html,"Гаррі Поттер і філософський камінь
Harry Potter and the Philosopher's Stone",Джоан Роулінг,А-ба-ба-га-ла-ма-га,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/taemnicha-istorija-billi-milligana.html,"Таємнича історія Біллі Міллігана
The Minds of Billy Milligan",Деніел Кіз,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/val-s-gormoniv-vaga-son-seks-krasa-i-zdorov-ja-jak-po-notah.html,"Вальс гормонів. Маса тіла, сон, секс, краса і здоров'я - усе, мов на долоні",Наталія Зубарєва,Book Chef,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ditjam-pro-biznes-komplekt-iz-2-knig.html,Дітям про бізнес (комплект із 2 книг),Бодо Шефер,Видавництво Старого Лева,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/pravila-dorozhn-ogo-ruhu-ukraini-2020-z-komentarjami-ta-iljustracijami.html,Правила Дорожнього Руху України 2020 з коментарями та ілюстраціями,,Моноліт-Bizz,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/izh-pij-hudni-zdorov-ja-bez-diet.html,"Їж, пий, худни. Здоров'я без дієт",Наталія Самойленко,#книголав,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/doki-svitlo-ne-zgasne-nazavzhdi.html,Доки світло не згасне назавжди,Макс Кідрук,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2019,Ukrainian
